,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,8,genre,kind
4,9,mois,month
5,11,laisser,let
6,13,mettre,to put
7,14,aucun,no
8,15,laisse,leash
9,16,eux,them
10,17,ville,city
11,18,chaque,each
12,19,parlé,speak
13,20,arrivé,come
14,22,bébé,baby
15,26,pendant,while
16,28,aucune,any
17,29,place,square
18,30,parle,speak
19,31,savais,knew
20,34,voici,here is
21,35,pourrais,could
22,36,affaire,case
23,38,donné,given
24,39,train,train
25,43,écoute,listen
26,50,côté,side
27,54,tiens,here
28,57,enfant,child
29,59,venu,came
30,60,suite,after
31,61,pardon,sorry
32,62,venez,come
33,65,minutes,minutes
34,67,chambre,bedroom
35,69,belle,beautiful
36,72,mari,husband
37,73,cause,cause
38,74,enfin,finally
39,76,eau,water
40,77,attendez,Wait
41,80,boulot,job
42,81,arrêter,Stop
43,82,dirait,would say
44,84,compte,account
45,86,loin,far
46,88,chérie,sweetheart
47,89,gros,large
